customerID,tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
CUST41,52,117.82,375.67,Month-to-month,Credit card,Yes
CUST42,1,38.09,7765.18,Two year,Mailed check,No
CUST43,59,99.92,5734.18,Month-to-month,Bank transfer,No
CUST44,70,53.42,2599.09,Month-to-month,Electronic check,No
CUST45,43,93.09,2563.2,Two year,Electronic check,No
CUST46,7,62.0,3599.37,Two year,Mailed check,No
CUST47,46,77.84,5017.43,Month-to-month,Bank transfer,No
CUST48,34,103.26,1188.06,Month-to-month,Mailed check,No
CUST49,35,100.42,1527.66,Two year,Credit card,No
CUST50,49,106.64,6878.29,Month-to-month,Mailed check,No
CUST51,3,25.96,2064.91,Month-to-month,Bank transfer,Yes
CUST52,1,89.21,3053.96,Month-to-month,Credit card,No
CUST53,5,34.0,6972.75,Month-to-month,Electronic check,No
CUST54,53,61.58,5311.92,One year,Electronic check,No
CUST55,3,74.86,2746.86,One year,Electronic check,No
CUST56,53,60.27,5475.92,Two year,Bank transfer,Yes
CUST57,62,71.96,177.07,One year,Bank transfer,No
CUST58,17,119.65,5890.43,Month-to-month,Bank transfer,Yes
CUST59,43,33.52,3906.39,Month-to-month,Bank transfer,No
CUST60,33,87.55,6509.19,Two year,Bank transfer,No
CUST61,61,59.6,7638.01,Month-to-month,Credit card,No
CUST62,13,33.3,7407.79,Month-to-month,Mailed check,No
CUST63,47,35.87,7275.94,Two year,Electronic check,No
CUST64,14,114.93,4107.12,Month-to-month,Bank transfer,No
CUST65,71,107.96,2893.93,Month-to-month,Electronic check,No
CUST66,61,110.7,3730.98,Two year,Bank transfer,Yes
CUST67,39,119.15,5525.37,Two year,Electronic check,No
CUST68,52,40.83,7074.3,Month-to-month,Mailed check,No
CUST69,23,55.54,1671.75,Two year,Electronic check,No
CUST70,25,86.92,7347.18,Month-to-month,Electronic check,No
CUST71,59,68.38,6525.14,Month-to-month,Bank transfer,No
CUST72,40,61.84,7831.27,Two year,Credit card,Yes
CUST73,28,55.78,7044.41,Two year,Credit card,Yes
CUST74,14,79.38,2253.9,Month-to-month,Electronic check,No
CUST75,44,77.56,865.53,Month-to-month,Credit card,Yes
CUST76,64,36.15,915.68,Month-to-month,Mailed check,Yes
CUST77,70,67.17,2343.96,Month-to-month,Mailed check,No
CUST78,8,75.35,4921.19,Month-to-month,Credit card,No
CUST79,0,77.03,6438.48,Month-to-month,Credit card,No
CUST80,7,41.01,7196.02,Month-to-month,Mailed check,No
CUST81,62,94.23,4997.55,Month-to-month,Credit card,No
CUST82,10,22.52,64.94,Month-to-month,Credit card,No
CUST83,7,55.48,1506.81,Two year,Bank transfer,No
CUST84,34,98.02,815.82,Month-to-month,Bank transfer,No
CUST85,34,76.39,2919.33,Month-to-month,Credit card,No
CUST86,32,46.12,4020.78,Two year,Credit card,No
CUST87,4,89.5,366.31,One year,Bank transfer,No
CUST88,40,76.74,2800.85,Month-to-month,Bank transfer,No
CUST89,27,99.62,1449.85,Month-to-month,Credit card,No
CUST90,6,93.5,5183.62,One year,Bank transfer,Yes
CUST91,71,81.01,3724.89,Month-to-month,Mailed check,No
CUST92,11,68.82,3972.63,One year,Electronic check,No
CUST93,33,33.32,3432.98,Month-to-month,Mailed check,No
CUST94,32,46.13,7649.04,Month-to-month,Bank transfer,No
CUST95,47,61.91,1733.59,Month-to-month,Mailed check,No
CUST96,22,79.93,4142.98,One year,Electronic check,No
CUST97,61,71.37,5893.42,Two year,Bank transfer,Yes
CUST98,36,48.82,4463.62,Month-to-month,Mailed check,No
CUST99,43,20.65,7433.59,Month-to-month,Mailed check,No
CUST100,34,69.62,3036.19,Month-to-month,Electronic check,No
CUST101,64,48.56,3720.13,Month-to-month,Bank transfer,No
CUST102,46,93.46,726.41,Two year,Credit card,No
CUST103,2,22.39,4879.81,Month-to-month,Bank transfer,No
CUST104,0,78.48,2319.93,Two year,Electronic check,No
CUST105,4,114.15,1299.27,One year,Electronic check,No
CUST106,13,37.44,4365.36,Two year,Electronic check,No
CUST107,26,67.16,4267.84,One year,Electronic check,No
CUST108,8,29.14,625.46,Month-to-month,Credit card,No
CUST109,14,82.57,5591.76,Month-to-month,Bank transfer,Yes
CUST110,41,75.05,4997.7,Month-to-month,Bank transfer,No
CUST111,50,60.74,1528.36,Month-to-month,Mailed check,No
CUST112,62,72.14,3766.09,Month-to-month,Credit card,No
CUST113,51,109.66,5768.18,Month-to-month,Credit card,No
CUST114,3,39.63,4244.9,Two year,Mailed check,No
CUST115,22,22.26,3176.0,Month-to-month,Mailed check,No
CUST116,14,106.17,2592.26,One year,Bank transfer,No
CUST117,42,77.71,4890.94,Two year,Bank transfer,No
CUST118,28,109.07,7514.09,Two year,Bank transfer,No
CUST119,35,79.69,5380.52,Month-to-month,Credit card,No
CUST120,12,101.02,616.47,Month-to-month,Credit card,No
CUST121,31,62.97,3696.27,Month-to-month,Mailed check,Yes
CUST122,70,94.99,7128.78,Month-to-month,Electronic check,No
CUST123,58,111.3,773.81,Month-to-month,Electronic check,No
CUST124,27,77.21,7911.23,Two year,Electronic check,No
CUST125,65,38.08,7593.57,Month-to-month,Electronic check,No
CUST126,41,46.88,644.63,Month-to-month,Electronic check,Yes
CUST127,44,39.86,7468.64,Two year,Bank transfer,No
CUST128,61,44.69,2917.8,Month-to-month,Mailed check,No
CUST129,56,50.64,6760.78,Month-to-month,Electronic check,No
CUST130,5,75.51,3358.7,One year,Electronic check,No
CUST131,27,78.8,3538.02,Month-to-month,Electronic check,No
CUST132,27,62.65,5081.26,One year,Bank transfer,No
CUST133,43,81.54,6200.33,Month-to-month,Electronic check,Yes
CUST134,29,28.16,289.64,Two year,Mailed check,No
CUST135,61,28.78,4753.38,Month-to-month,Bank transfer,No
CUST136,61,37.18,1510.13,Month-to-month,Bank transfer,No
CUST137,0,71.81,2780.68,Month-to-month,Credit card,No
CUST138,26,41.4,2796.79,Month-to-month,Credit card,No
CUST139,61,48.33,3763.1,Month-to-month,Bank transfer,No
CUST140,2,60.03,2686.41,Month-to-month,Electronic check,No
CUST141,69,101.19,876.74,Month-to-month,Electronic check,Yes
CUST142,71,21.39,1182.12,Month-to-month,Electronic check,Yes
CUST143,26,84.94,286.84,Month-to-month,Electronic check,Yes
CUST144,8,86.89,3772.59,Month-to-month,Credit card,No
CUST145,61,99.87,7636.49,One year,Mailed check,Yes
CUST146,36,113.28,943.09,Month-to-month,Bank transfer,No
CUST147,50,22.01,7571.19,Month-to-month,Electronic check,Yes
CUST148,43,35.38,5872.22,One year,Credit card,No
CUST149,23,108.62,5107.24,Two year,Mailed check,No
CUST150,58,65.85,5169.32,Month-to-month,Bank transfer,No
CUST151,31,76.46,6617.29,Month-to-month,Bank transfer,Yes
CUST152,51,86.3,873.22,Month-to-month,Bank transfer,No
CUST153,61,87.91,4047.94,Month-to-month,Electronic check,No
CUST154,57,113.17,5582.79,One year,Bank transfer,No
CUST155,51,119.69,4702.83,Month-to-month,Electronic check,No
CUST156,11,92.02,6665.58,One year,Mailed check,No
CUST157,38,48.72,596.73,Month-to-month,Credit card,No
CUST158,1,107.98,5531.79,Month-to-month,Credit card,Yes
CUST159,2,24.92,4281.54,Two year,Credit card,No
CUST160,55,43.11,3045.7,Month-to-month,Bank transfer,No
CUST161,58,109.74,2735.39,Month-to-month,Credit card,No
CUST162,1,45.62,4974.24,Two year,Mailed check,No
CUST163,1,42.07,7130.14,Two year,Electronic check,No
CUST164,53,33.81,3979.48,One year,Credit card,No
CUST165,0,105.91,6601.29,Month-to-month,Electronic check,Yes
CUST166,18,70.01,3229.21,Month-to-month,Electronic check,No
CUST167,1,87.49,837.11,Two year,Credit card,No
CUST168,52,43.91,510.82,Month-to-month,Credit card,Yes
CUST169,43,95.8,429.65,Two year,Credit card,Yes
CUST170,31,96.0,3053.6,Month-to-month,Bank transfer,No
CUST171,69,51.26,2711.16,Month-to-month,Credit card,No
CUST172,31,61.07,5749.14,Two year,Bank transfer,No
CUST173,67,40.97,5947.72,Month-to-month,Mailed check,No
CUST174,54,117.66,425.81,Month-to-month,Electronic check,No
CUST175,55,84.56,1784.56,Month-to-month,Mailed check,No
CUST176,16,113.45,2208.61,Month-to-month,Credit card,No
CUST177,37,50.34,4389.94,Month-to-month,Electronic check,No
CUST178,23,98.19,1173.23,Month-to-month,Credit card,No
CUST179,68,96.59,1088.85,Month-to-month,Credit card,No
CUST180,69,89.17,7551.44,One year,Electronic check,Yes
CUST181,10,116.56,6437.54,Month-to-month,Mailed check,No
CUST182,15,59.36,1461.63,Two year,Credit card,No
CUST183,58,33.07,3264.41,Month-to-month,Electronic check,No
CUST184,69,87.17,2857.86,Month-to-month,Mailed check,No
CUST185,2,92.93,6332.21,Month-to-month,Bank transfer,No
CUST186,19,77.51,4091.5,One year,Mailed check,No
CUST187,58,40.68,1040.24,Two year,Mailed check,No
CUST188,35,70.45,5917.16,Two year,Electronic check,No
CUST189,18,51.22,3187.17,Month-to-month,Mailed check,Yes
CUST190,66,62.75,2118.14,Month-to-month,Bank transfer,No
CUST191,18,84.52,3016.48,Two year,Bank transfer,No
CUST192,19,94.52,3992.1,Two year,Credit card,No
CUST193,70,43.22,2758.06,Two year,Bank transfer,No
CUST194,51,60.53,1950.41,Month-to-month,Credit card,No
CUST195,32,46.92,3200.05,Two year,Bank transfer,No
CUST196,39,39.86,173.0,Month-to-month,Mailed check,Yes
CUST197,38,98.34,6184.53,Month-to-month,Credit card,No
CUST198,0,110.93,1384.14,Month-to-month,Bank transfer,Yes
CUST199,10,57.02,370.36,Month-to-month,Mailed check,No
CUST200,56,95.13,5236.52,One year,Mailed check,Yes
CUST201,49,109.7,6196.01,Two year,Credit card,No
CUST202,22,104.61,6514.36,One year,Electronic check,Yes
CUST203,30,38.28,3958.2,One year,Mailed check,No
CUST204,41,115.63,1658.84,Month-to-month,Mailed check,No
CUST205,6,57.67,5903.08,One year,Electronic check,Yes
CUST206,15,53.92,5603.71,Month-to-month,Credit card,No
CUST207,59,26.24,1985.24,Two year,Bank transfer,No
CUST208,1,68.62,7229.19,One year,Bank transfer,No
CUST209,0,30.9,852.88,One year,Mailed check,No
CUST210,47,44.85,7861.85,Month-to-month,Electronic check,No
CUST211,11,51.69,6884.78,Two year,Mailed check,No
CUST212,68,100.88,5509.43,Month-to-month,Credit card,No
CUST213,36,107.55,7511.22,Month-to-month,Mailed check,No
CUST214,31,50.25,5784.04,One year,Bank transfer,No
CUST215,8,105.87,1539.85,Month-to-month,Electronic check,No
CUST216,18,105.72,3548.41,Two year,Credit card,No
CUST217,47,96.47,590.59,Month-to-month,Mailed check,Yes
CUST218,2,34.67,3129.47,Month-to-month,Bank transfer,No
CUST219,19,89.03,5937.99,Two year,Mailed check,No
CUST220,23,114.5,3103.82,Month-to-month,Bank transfer,No
CUST221,53,88.25,2655.75,Month-to-month,Electronic check,Yes
CUST222,32,53.16,4770.94,Month-to-month,Credit card,Yes
CUST223,23,70.06,6980.19,Month-to-month,Mailed check,No
CUST224,71,84.57,399.71,One year,Credit card,No
CUST225,35,71.06,3096.05,Month-to-month,Electronic check,No
CUST226,37,32.0,1282.76,Two year,Bank transfer,No
CUST227,24,51.21,5568.93,One year,Electronic check,Yes
CUST228,17,100.24,863.68,Month-to-month,Electronic check,No
CUST229,65,106.14,5325.17,One year,Credit card,No
CUST230,53,33.73,2303.72,One year,Electronic check,No
CUST231,34,115.24,1607.36,Month-to-month,Mailed check,No
CUST232,60,52.88,7492.09,Month-to-month,Bank transfer,Yes
CUST233,40,86.23,167.83,Month-to-month,Electronic check,Yes
CUST234,32,95.18,3513.46,One year,Mailed check,No
CUST235,67,101.19,192.58,One year,Bank transfer,No
CUST236,32,114.57,3879.07,Month-to-month,Credit card,No
CUST237,13,51.29,4018.36,One year,Bank transfer,No
CUST238,20,105.85,2586.87,One year,Credit card,Yes
CUST239,47,33.17,1074.65,One year,Bank transfer,No
CUST240,19,90.5,3023.57,One year,Electronic check,No
CUST241,7,94.2,5384.66,Month-to-month,Credit card,No
CUST242,6,87.77,6263.52,Two year,Credit card,No
CUST243,66,45.23,4255.39,One year,Credit card,No
CUST244,16,107.3,4726.88,Two year,Electronic check,No
CUST245,32,36.89,1620.92,Month-to-month,Electronic check,No
CUST246,47,25.36,2312.9,Month-to-month,Bank transfer,No
CUST247,58,91.75,1311.93,Month-to-month,Bank transfer,No
CUST248,21,67.55,2009.38,Month-to-month,Electronic check,No
CUST249,29,104.91,1814.6,One year,Electronic check,Yes
CUST250,37,58.34,4165.2,Month-to-month,Credit card,No
CUST251,50,36.83,4510.26,Two year,Bank transfer,No
CUST252,53,103.64,7560.68,One year,Bank transfer,No
CUST253,7,74.89,1580.65,One year,Credit card,No
CUST254,26,38.92,5140.57,Month-to-month,Credit card,No
CUST255,26,92.04,6541.73,Two year,Credit card,No
CUST256,20,71.11,4490.73,Two year,Mailed check,No
CUST257,29,80.43,2054.93,One year,Mailed check,Yes
CUST258,27,66.09,2115.15,Month-to-month,Electronic check,No
CUST259,63,102.87,333.24,Month-to-month,Bank transfer,No
CUST260,68,102.96,2457.44,Month-to-month,Credit card,Yes
CUST261,60,90.94,5961.94,Month-to-month,Credit card,No
CUST262,47,30.54,399.19,Month-to-month,Bank transfer,Yes
CUST263,18,103.89,1769.98,Month-to-month,Mailed check,No
CUST264,3,87.1,5655.74,One year,Bank transfer,Yes
CUST265,34,89.7,6265.56,Month-to-month,Electronic check,No
CUST266,63,56.3,3653.44,Month-to-month,Mailed check,No
CUST267,48,107.93,5590.63,Two year,Bank transfer,No
CUST268,16,92.54,3115.86,Month-to-month,Bank transfer,Yes
CUST269,43,31.26,1296.11,One year,Electronic check,Yes
CUST270,29,60.78,3197.23,Month-to-month,Bank transfer,No
CUST271,45,108.64,4648.14,Month-to-month,Mailed check,No
CUST272,5,24.72,7585.47,Month-to-month,Credit card,No
CUST273,36,116.14,568.63,One year,Credit card,Yes
CUST274,23,87.92,4069.0,Month-to-month,Credit card,No
CUST275,45,83.14,2644.78,Two year,Mailed check,Yes
CUST276,52,47.06,4076.33,Month-to-month,Bank transfer,No
CUST277,59,44.88,211.32,Month-to-month,Bank transfer,No
CUST278,62,114.21,2517.94,One year,Bank transfer,No
CUST279,31,49.83,6562.55,Month-to-month,Bank transfer,No
CUST280,32,97.55,4440.46,One year,Credit card,No
CUST281,66,59.31,3615.65,Month-to-month,Mailed check,No
CUST282,17,33.93,2298.49,Month-to-month,Electronic check,No
CUST283,24,21.07,2398.38,One year,Mailed check,No
CUST284,53,74.43,3077.15,Two year,Bank transfer,No
CUST285,57,117.58,6687.85,Month-to-month,Bank transfer,No
CUST286,66,56.91,7738.36,Two year,Mailed check,Yes
CUST287,45,55.72,3520.47,Month-to-month,Mailed check,Yes
CUST288,23,54.41,3158.96,Two year,Credit card,Yes
CUST289,31,72.05,6775.48,One year,Bank transfer,Yes
CUST290,46,64.07,3426.7,Month-to-month,Mailed check,Yes
CUST291,22,107.99,4425.11,Month-to-month,Bank transfer,No
CUST292,65,70.55,1862.91,Month-to-month,Mailed check,Yes
CUST293,26,70.78,5953.15,Month-to-month,Bank transfer,No
CUST294,1,33.84,4265.27,Month-to-month,Mailed check,No
CUST295,16,118.27,6476.1,One year,Bank transfer,No
CUST296,32,45.0,6250.25,Two year,Electronic check,Yes
CUST297,8,27.34,1735.74,Month-to-month,Credit card,Yes
CUST298,42,86.31,5730.77,Month-to-month,Electronic check,Yes
CUST299,47,79.54,6404.43,Month-to-month,Credit card,No
CUST300,38,61.51,2781.94,Two year,Credit card,No
CUST301,41,62.22,1397.42,Month-to-month,Mailed check,Yes
CUST302,25,98.51,41.0,Month-to-month,Electronic check,No
CUST303,49,39.57,3618.21,Month-to-month,Credit card,No
CUST304,24,102.03,2832.41,Month-to-month,Bank transfer,No
CUST305,23,84.87,4448.18,Month-to-month,Mailed check,No
CUST306,12,61.9,1520.57,Month-to-month,Mailed check,No
CUST307,59,65.8,6880.13,Month-to-month,Bank transfer,No
CUST308,6,45.66,2076.89,Month-to-month,Bank transfer,Yes
CUST309,56,95.21,1826.91,Month-to-month,Credit card,No
CUST310,35,71.29,3856.1,Month-to-month,Bank transfer,No
CUST311,44,52.09,4000.83,Month-to-month,Mailed check,No
CUST312,19,79.61,1736.38,Two year,Bank transfer,Yes
CUST313,64,119.57,2189.45,Two year,Electronic check,No
CUST314,7,63.53,1374.25,Month-to-month,Mailed check,No
CUST315,15,112.07,5753.31,Month-to-month,Bank transfer,No
CUST316,13,54.5,6165.31,One year,Mailed check,Yes
CUST317,14,25.47,3709.38,Month-to-month,Credit card,No
CUST318,65,40.42,5718.41,Month-to-month,Electronic check,Yes
CUST319,31,61.87,5892.76,Month-to-month,Credit card,No
CUST320,62,41.96,1123.44,Two year,Electronic check,No
CUST321,50,20.02,7730.1,Two year,Bank transfer,No
CUST322,24,111.5,6571.83,Month-to-month,Mailed check,No
CUST323,57,104.39,1651.78,Month-to-month,Bank transfer,No
CUST324,62,94.23,1505.6,Two year,Credit card,No
CUST325,61,36.78,1022.78,Two year,Mailed check,Yes
CUST326,21,32.04,1124.26,Two year,Bank transfer,No
CUST327,57,26.76,5990.33,Month-to-month,Bank transfer,No
CUST328,57,92.4,3767.84,Month-to-month,Mailed check,Yes
CUST329,48,112.88,6267.81,One year,Mailed check,No
CUST330,51,63.05,5975.11,Month-to-month,Credit card,Yes
CUST331,41,31.91,4844.81,Month-to-month,Electronic check,No
CUST332,69,71.24,5497.21,Month-to-month,Electronic check,No
CUST333,14,54.88,166.48,Two year,Mailed check,No
CUST334,53,57.48,2507.99,Two year,Electronic check,No
CUST335,59,82.13,5109.82,Month-to-month,Credit card,Yes
CUST336,7,91.87,94.57,Two year,Electronic check,No
CUST337,52,31.06,283.16,Month-to-month,Mailed check,No
CUST338,59,23.56,6818.07,Two year,Credit card,No
CUST339,4,119.43,5478.52,Month-to-month,Mailed check,No
CUST340,67,43.27,2137.65,Month-to-month,Credit card,No
CUST341,5,25.38,5509.94,Month-to-month,Credit card,Yes
CUST342,46,38.99,6343.8,Month-to-month,Mailed check,No
CUST343,54,23.9,2468.22,Month-to-month,Bank transfer,No
CUST344,39,59.18,307.58,Month-to-month,Mailed check,No
CUST345,51,100.24,7463.58,Two year,Credit card,Yes
CUST346,15,54.12,2774.54,Month-to-month,Mailed check,No
CUST347,12,64.42,869.72,Month-to-month,Mailed check,Yes
CUST348,29,87.56,3945.02,Month-to-month,Credit card,No
CUST349,18,70.89,6152.37,Month-to-month,Electronic check,No
CUST350,16,106.14,1788.75,Month-to-month,Credit card,Yes
CUST351,62,106.6,2170.53,One year,Mailed check,Yes
CUST352,18,20.99,1956.87,Month-to-month,Credit card,No
CUST353,57,97.8,7933.55,One year,Credit card,No
CUST354,54,66.07,1595.28,One year,Electronic check,Yes
CUST355,61,118.88,4612.65,Month-to-month,Bank transfer,No
CUST356,22,68.32,7403.61,Month-to-month,Mailed check,No
CUST357,8,118.69,1192.23,Two year,Mailed check,No
CUST358,11,95.46,7767.42,Month-to-month,Electronic check,Yes
CUST359,0,44.86,7580.87,Month-to-month,Credit card,Yes
CUST360,57,73.84,7078.88,Two year,Bank transfer,No
CUST361,0,119.21,1732.16,Month-to-month,Mailed check,No
CUST362,33,105.75,5079.76,Month-to-month,Bank transfer,No
CUST363,47,29.74,6091.91,Two year,Bank transfer,No
CUST364,0,90.64,7888.5,Month-to-month,Credit card,No
CUST365,15,54.56,1459.78,Month-to-month,Credit card,Yes
CUST366,60,20.7,6132.89,Two year,Credit card,No
CUST367,63,60.35,2723.63,Two year,Mailed check,No
CUST368,62,43.48,1421.5,Month-to-month,Bank transfer,No
CUST369,68,101.89,3382.59,Month-to-month,Bank transfer,No
CUST370,21,53.73,6354.81,Two year,Mailed check,No
CUST371,66,102.75,3729.5,One year,Electronic check,No
CUST372,25,20.06,4309.43,Month-to-month,Credit card,No
CUST373,15,50.78,7961.37,Month-to-month,Mailed check,No
CUST374,50,44.12,3204.89,Month-to-month,Credit card,No
CUST375,56,43.36,4930.9,Two year,Bank transfer,No
CUST376,28,26.82,2934.65,Two year,Mailed check,No
CUST377,68,38.71,3154.43,Two year,Electronic check,No
CUST378,46,75.55,5571.21,Two year,Credit card,No
CUST379,61,49.14,7504.34,Month-to-month,Bank transfer,No
CUST380,68,61.74,4348.02,Month-to-month,Bank transfer,No
CUST381,15,57.69,6151.83,One year,Electronic check,No
CUST382,47,107.59,731.87,One year,Electronic check,No
CUST383,38,110.53,1705.04,Month-to-month,Credit card,No
CUST384,32,69.3,4027.01,Month-to-month,Bank transfer,No
CUST385,22,53.02,179.69,Two year,Electronic check,No
CUST386,9,30.68,2037.78,Month-to-month,Mailed check,Yes
CUST387,68,115.34,4148.86,Month-to-month,Electronic check,No
CUST388,33,26.02,139.39,One year,Mailed check,No
CUST389,51,49.77,2131.08,One year,Bank transfer,Yes
CUST390,9,49.81,4121.97,Month-to-month,Credit card,Yes
CUST391,18,52.04,4593.73,Two year,Bank transfer,Yes
CUST392,57,36.43,7407.5,Month-to-month,Bank transfer,No
CUST393,0,98.32,5169.86,Month-to-month,Bank transfer,No
CUST394,68,32.25,3329.59,Month-to-month,Bank transfer,Yes
CUST395,3,83.49,7444.2,One year,Credit card,No
CUST396,15,32.38,6283.37,Two year,Electronic check,No
CUST397,23,27.05,1616.07,Two year,Credit card,No
CUST398,1,110.94,1064.12,Two year,Credit card,No
CUST399,31,39.01,5412.98,Month-to-month,Credit card,No
CUST400,23,102.13,4487.87,Month-to-month,Credit card,No
CUST401,11,74.46,6321.6,Month-to-month,Electronic check,No
CUST402,49,27.79,5915.66,Month-to-month,Bank transfer,No
CUST403,34,115.54,5009.19,Two year,Electronic check,Yes
CUST404,32,44.7,7891.33,One year,Electronic check,No
CUST405,32,105.96,4278.05,Two year,Bank transfer,No
CUST406,60,36.88,922.58,Month-to-month,Electronic check,No
CUST407,50,105.39,6629.62,Month-to-month,Credit card,No
CUST408,42,21.32,2029.79,Month-to-month,Credit card,Yes
CUST409,11,71.18,6222.87,Month-to-month,Bank transfer,No
CUST410,66,96.94,7657.71,Month-to-month,Bank transfer,No
CUST411,64,113.48,5580.43,Month-to-month,Bank transfer,Yes
CUST412,32,110.92,4776.32,Month-to-month,Credit card,No
CUST413,39,101.96,3693.88,Month-to-month,Bank transfer,No
CUST414,42,108.82,2927.99,Month-to-month,Electronic check,No
CUST415,43,39.92,2836.98,Month-to-month,Electronic check,Yes
CUST416,28,48.42,5098.25,Month-to-month,Mailed check,No
CUST417,12,48.9,6015.16,Month-to-month,Mailed check,No
CUST418,11,57.71,5434.57,Month-to-month,Bank transfer,Yes
CUST419,45,59.33,1603.31,Month-to-month,Mailed check,No
CUST420,1,74.46,3962.02,Month-to-month,Credit card,No
CUST421,34,35.99,6337.29,Month-to-month,Credit card,No
CUST422,7,89.12,3816.12,Month-to-month,Electronic check,No
CUST423,25,36.76,4302.25,One year,Electronic check,No
CUST424,33,51.03,6173.67,One year,Mailed check,Yes
CUST425,6,70.33,5296.9,Two year,Mailed check,No
CUST426,67,99.64,3286.57,Month-to-month,Credit card,No
CUST427,57,93.95,7165.39,Month-to-month,Electronic check,Yes
CUST428,28,84.55,1317.29,Two year,Mailed check,No
CUST429,35,35.58,7964.22,Month-to-month,Credit card,No
CUST430,20,74.7,968.44,One year,Electronic check,No
CUST431,35,28.74,139.3,Month-to-month,Credit card,No
CUST432,9,57.74,7122.35,Month-to-month,Credit card,No
CUST433,23,61.35,1974.73,One year,Electronic check,Yes
CUST434,63,23.98,5843.0,Month-to-month,Credit card,No
CUST435,48,47.4,6491.9,Month-to-month,Mailed check,No
CUST436,35,115.56,6874.71,Month-to-month,Credit card,No
CUST437,23,115.36,7932.92,Month-to-month,Mailed check,No
CUST438,22,55.23,2366.44,Month-to-month,Bank transfer,No
CUST439,61,24.31,5687.74,Month-to-month,Bank transfer,No
CUST440,36,37.91,940.89,One year,Bank transfer,Yes
CUST441,11,59.22,3266.34,One year,Credit card,Yes
CUST442,54,114.78,6786.81,Month-to-month,Bank transfer,Yes
CUST443,12,34.12,2953.91,Two year,Bank transfer,No
CUST444,22,96.35,4736.94,Month-to-month,Credit card,No
CUST445,29,30.87,4040.11,Month-to-month,Electronic check,No
CUST446,16,118.13,5174.69,Two year,Credit card,Yes
CUST447,61,58.16,7783.7,One year,Mailed check,No
CUST448,12,97.52,464.77,One year,Credit card,No
CUST449,58,54.26,4600.21,Month-to-month,Electronic check,No
CUST450,18,82.77,6906.97,Month-to-month,Bank transfer,No
CUST451,48,39.2,3861.43,Two year,Credit card,Yes
CUST452,11,34.6,646.65,Month-to-month,Bank transfer,No
CUST453,60,113.81,4493.1,One year,Mailed check,Yes
CUST454,18,111.76,2669.95,Month-to-month,Electronic check,No
CUST455,8,108.75,1256.44,Two year,Bank transfer,No
CUST456,70,82.54,6795.3,Month-to-month,Bank transfer,No
CUST457,27,100.83,4182.36,Month-to-month,Bank transfer,No
CUST458,51,26.9,7467.55,Month-to-month,Bank transfer,No
CUST459,15,53.48,6452.01,One year,Credit card,No
CUST460,68,51.37,5549.91,One year,Electronic check,No
CUST461,11,83.56,60.1,Month-to-month,Electronic check,No
CUST462,24,55.6,3434.03,One year,Bank transfer,No
CUST463,51,34.85,1595.94,Month-to-month,Electronic check,Yes
